,Occupation,Critical Problem Solving and Repetitive Work,Negotition and Leadership Capacity,Hazardous Environment,Empathy and Social Percetiveness,Artistic Ability,Coordination Capacity,Finger Dexterity
533,Orthotists and Prosthetists,1.21906696,0.2619628,-1.490631244,1.657800779,0.206886851,-0.7421345,0.81461967
534,Hearing Aid Specialists,0.230762086,1.040217778,-0.056193435,1.210792226,-0.177108971,-1.48317925,1.593558489
536,Neurodiagnostic Technologists,0.712989645,-0.662745612,0.04037101,1.121932689,-0.84500448,0.103767502,1.499360601
537,Ophthalmic Medical Technologists,-0.204206772,-0.698587022,0.68058524,1.128122338,-1.166797424,0.814233237,1.664818616
538,Radiologic Technicians,0.027762987,-0.753391223,0.405804363,1.00170495,-0.114042064,0.05211017,1.802853953
539,Surgical Assistants,0.530766353,0.026066299,-0.743966777,1.1632642,-0.291396966,0.861942798,2.16376925
540,Occupational Health and Safety Specialists,1.486520287,0.797402782,-0.86798192,0.56130154,-0.853399544,-0.618989345,-1.043224472
541,Occupational Health and Safety Technicians,0.508119253,0.225711546,-0.615906716,0.305071565,-0.644294904,-0.019633145,-0.510779047
542,Athletic Trainers,0.545895871,0.064618839,-0.375726065,1.51536513,0.202831072,0.388009246,0.616397998
543,Genetic Counselors,1.384661385,-1.345293894,1.244694428,2.175106731,-0.741949075,-1.501563335,-0.836509753
545,Midwives,0.52393607,0.078548022,-0.01068629,2.189814342,0.008128605,-0.666305505,0.008695491
546,Home Health Aides,-0.81951949,-0.227073918,0.565516116,1.370135886,0.159227546,-0.494717751,0.69439258
547,Psychiatric Aides,-0.796007368,0.294016678,0.304371337,2.068118043,0.102354311,0.048416006,0.293557413
548,Nursing Assistants,-0.802773189,-0.545208263,0.490623718,1.943177786,-0.515849025,0.749241916,0.757009846
549,Orderlies,-1.770077008,-0.834693611,0.432874575,1.22469772,-1.245207949,0.432566621,0.598668986
550,Occupational Therapy Assistants,-0.09130046,-0.481337872,0.027707158,1.85120419,0.524008753,0.217269549,0.862153933
551,Occupational Therapy Aides,-0.550371152,-0.676017829,0.337018261,1.763048485,-0.09803198,0.542292436,0.556373998
552,Physical Therapist Assistants,-0.22479909,-0.462020812,0.396644735,1.56706621,0.278327537,0.536921432,1.141929762
553,Physical Therapist Aides,-1.110263649,-0.620067432,0.354700511,1.476401278,0.08351623,0.549888197,0.470130004
554,Massage Therapists,-0.025636088,-1.428407879,0.724359875,1.408715707,0.551203349,-2.501918339,1.637235361
555,Dental Assistants,-0.655858484,-0.20562183,0.000670906,1.214655029,-0.254762866,0.936072896,1.52088371
556,Medical Assistants,-0.24289132,0.205866672,0.628742612,1.336210646,-0.771276022,0.845480623,0.955989035
557,Medical Equipment Preparers,-0.251491706,-0.77832986,-0.916860868,0.720548917,-0.191064872,1.153451412,1.19612728
558,Medical Transcriptionists,-0.363488474,-2.501336659,2.131920574,-0.363919069,-1.35530843,-0.63385767,0.963175255
559,Pharmacy Aides,-1.064172442,0.445645312,1.008695538,-0.221281902,-1.05397827,0.672774316,1.208865122
560,Veterinary Assistants and Laboratory Animal Caretakers,-0.6074537,-1.064114647,-0.025687293,0.825274625,-0.652329644,0.960483771,0.795748473
561,Phlebotomists,-0.640091965,-0.421171801,0.410381566,1.41327269,-0.629091698,0.575007855,1.471369619
563,Speech-Language Pathology Assistants,0.218804135,-1.440323019,0.806617648,1.919730822,0.060056026,1.356313119,-0.154189442
564,Endoscopy Technicians,0.108511189,-0.753414245,-0.257550195,1.077971564,-0.780550041,1.059214671,1.743351586
565,First-Line Supervisors of Correctional Officers,-0.128835267,2.529896867,-0.763093733,0.711839154,-0.769005413,-0.535089839,-0.443961334
566,First-Line Supervisors of Police and Detectives,0.320738218,2.435583361,-1.399634057,1.235009447,-0.50839613,0.194392775,-0.318880727
568,Municipal Fire Fighting and Prevention Supervisors,0.718671014,2.173010274,-2.031488918,0.915858903,-0.180277196,0.61490868,0.245312461
569,Forest Fire Fighting and Prevention Supervisors,0.620861658,1.527646948,-1.880955461,0.802632939,-0.272238875,1.136560637,-0.144360831
572,Municipal Firefighters,-0.093413062,0.754904075,-2.030217935,1.368884045,0.043407234,0.797800137,0.145394593
573,Forest Firefighters,-0.012966687,0.552050891,-1.849330321,0.911829354,-0.216767971,1.261593799,0.124511245
575,Fire Inspectors,0.311760031,0.406698907,-0.402426536,0.255691834,-0.630575744,-0.72838319,-0.428556872
576,Fire Investigators,1.162746136,0.604101873,-1.765262347,1.321380625,-0.16192441,1.180123082,0.0425637
577,Forest Fire Inspectors and Prevention Specialists,-0.142104033,2.404888264,-0.65514034,-0.142598225,-0.393352314,-2.035908437,-0.635461753
578,Bailiffs,-1.541384682,-0.268359141,0.784783435,0.744334341,-1.279280421,0.397354695,-1.061639245
579,Correctional Officers and Jailers,-0.588299543,1.001034369,-0.170994425,1.169145266,-1.313405449,0.452313253,0.224009071
581,Police Detectives,1.191859941,0.923127595,-1.230834084,1.437468599,-0.46595196,-0.470393243,0.281356202
582,Police Identification and Records Officers,0.707187206,-0.317690566,-0.418134351,0.13299537,-1.116474177,0.299415541,0.116718714
583,Criminal Investigators and Special Agents,0.985365422,1.144153331,-0.873632753,1.342050706,-0.700051499,-0.458910048,0.300734463
584,Immigration and Customs Inspectors,0.241058231,0.986710553,-1.169899679,0.917305437,-1.055662383,-0.680090558,-0.546910526
585,Intelligence Analysts,1.001236137,-0.254963247,0.782404005,-0.481366042,0.739648556,-0.165069496,-0.292356788
586,Fish and Game Wardens,0.408036908,1.111404091,-1.103371299,0.851970331,-0.228704035,-1.128173378,-0.715483131
587,Parking Enforcement Workers,-1.301882498,0.845967024,-0.33174029,0.203511944,-0.429893095,-1.057113997,-0.472041194
589,Police Patrol Officers,-0.250862815,2.183093026,-1.506764987,1.502948059,-0.765440682,-0.154980178,-0.111521135
590,Sheriffs and Deputy Sheriffs,0.096261264,1.944803466,-1.364245919,1.597862077,-0.924197907,-0.814057959,-0.39233575
591,Transit and Railroad Police,0.174307398,1.547555009,-1.632300633,0.958314836,-0.369583519,-0.174574318,-0.519244347
592,Animal Control Workers,-0.293996269,0.569685265,-0.722862333,0.893030375,-0.699558244,-0.149206956,-0.085210793
593,Private Detectives and Investigators,0.715550545,0.453850347,0.462729363,-0.022461477,-0.326208829,-1.970964777,-0.633356734
594,Gaming Surveillance Officers and Gaming Investigators,-0.477538213,0.373144549,0.224100133,0.443613972,-0.144436982,-0.008300647,-0.755296551
595,Security Guards,-1.527655933,0.955641943,-0.047925764,-0.239839378,-0.817709098,-0.473970644,-1.873475752
596,Crossing Guards,-1.67794587,-1.045795602,-0.451544283,1.105848172,-0.842515166,-1.214538687,-2.120040491
597,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.984148628,-1.358681253,0.067011897,1.453943928,-1.464143259,0.1331753,-1.616648262
598,Transportation Security Screeners,-1.127253867,0.241071141,-0.250458956,0.531394258,-1.274315567,0.030084337,0.197614047
600,Retail Loss Prevention Specialists,-0.147033627,0.443943382,0.482419128,0.283682039,-0.314757074,1.042776654,0.232227832
601,Chefs and Head Cooks,-0.908383203,1.850028898,-0.89037939,-0.334006,1.279257831,1.027962069,0.202503266
602,First-Line Supervisors of Food Preparation and Serving Workers,-0.911689603,1.191843516,-0.014499662,-0.04544444,-0.748113995,1.392660372,0.018431092
603,"Cooks, Fast Food",-2.172679908,0.033670318,0.888344427,-0.465925217,-0.914277983,0.585594963,-0.058629764
604,"Cooks, Institution and Cafeteria",-1.163580981,0.411814346,0.298493369,-0.447843306,-0.119739657,0.234886374,0.640341159
605,"Cooks, Private Household",-0.84862991,-0.408441011,0.662207788,-0.367863667,1.845981903,-2.757039946,1.130642164
606,"Cooks, Restaurant",-1.769703286,0.264610024,0.08044933,-0.409951511,1.022047027,0.964671835,0.487328673
607,"Cooks, Short Order",-1.336172923,-0.147058638,0.237611621,-0.085574423,0.043979985,0.51144345,0.200647152
609,Food Preparation Workers,-2.094703172,0.350081917,0.06349462,-0.207010507,0.488530662,0.962957447,0.177859186
610,Bartenders,-1.294087612,0.933818583,0.705853535,0.198993848,0.189310531,-0.687492439,1.411110027
611,"Combined Food Preparation and Serving Workers, Including Fast Food",-2.101548539,-0.046574594,0.624996313,0.0528137,-0.512707544,1.256230748,-0.108243759
612,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-1.660162464,-0.359689222,1.091366641,0.048626921,-0.78948819,0.623773507,0.133312188
613,Baristas,-2.076596794,0.315391885,0.991562669,0.026845034,-0.06632043,-0.310211586,1.051093173
614,Waiters and Waitresses,-1.83408105,0.476901405,0.855942758,0.744792186,-0.556771825,-0.426555161,0.478366615
615,"Food Servers, Nonrestaurant",-1.925471403,-1.191224584,0.802171734,0.237827156,-0.275081255,0.856482774,-0.467599542
616,Dining Room and Cafeteria Attendants and Bartender Helpers,-2.589251062,-0.074313916,0.64978703,-0.201458171,-0.012090389,0.925510322,0.788596327
617,Dishwashers,-2.35894594,0.474991965,0.301205765,-1.217099602,-0.298950745,-0.88882654,0.723935441
618,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",-2.148698536,-0.071280902,1.273526783,0.295592172,-1.117778781,0.414446215,-0.248169327
620,First-Line Supervisors of Housekeeping and Janitorial Workers,-1.207015932,0.948199952,-0.010219712,0.105170161,-0.610471596,0.972522575,-0.352917046
621,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.137871194,1.63464207,-1.435209747,-0.426545559,0.033981155,0.825224219,-0.638757227
622,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.907652557,-1.237829984,-0.048056866,-0.286115647,-0.352600842,0.068112301,-0.825704153
623,Maids and Housekeeping Cleaners,-2.008931439,-0.508693214,0.26944386,0.009063933,-0.110639047,0.031290497,-0.007806867
625,Pest Control Workers,-0.075576365,1.073955981,-0.777008027,-0.018357695,-0.69346011,-2.272407665,0.158730085
626,Landscaping and Groundskeeping Workers,-1.536306732,-0.957673544,-1.221861445,-0.221127242,0.748310685,0.017907021,-0.6796643
627,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.579061146,0.505769848,-1.234749148,-0.456266366,-0.380769074,-0.510185359,-0.423842666
628,Tree Trimmers and Pruners,-0.582134187,-0.465851615,-1.620114595,0.122720035,0.020594537,0.20536834,-0.170200788
630,Gaming Supervisors,-1.131958975,0.655130981,0.915184372,0.786315116,-1.392358885,0.820531512,-1.367262989
631,Slot Supervisors,-1.387458733,1.247147376,0.582198522,0.00291095,-1.192875365,0.64042927,0.770508341
632,First-Line Supervisors of Personal Service Workers,-0.284442106,0.938332686,0.604499042,1.259572978,0.102167219,0.639187261,0.379779738
633,Spa Managers,-0.532211748,2.379497171,0.830884921,0.146447288,-0.054494928,1.104491853,0.621357871
634,Animal Trainers,-0.515656838,0.644575138,-0.423220623,0.12849062,0.827355889,-0.674271164,0.194442545
635,Nonfarm Animal Caretakers,-1.075430007,-0.619072654,0.418370556,-0.304390156,-0.357355276,-0.994344582,0.039017149
636,Gaming Dealers,-1.432791466,0.095028448,0.982471424,0.359466034,-0.844735498,-0.565185739,1.752426823
637,Gaming and Sports Book Writers and Runners,-1.441524205,-0.611235753,1.146373631,-0.029196762,-1.16495152,0.215449723,0.611869317
639,Motion Picture Projectionists,-1.071872451,-0.791297394,0.242007373,-0.889721344,-0.570736965,-1.52662564,-0.310974121
640,"Ushers, Lobby Attendants, and Ticket Takers",-2.221335262,-0.083261423,1.129905186,0.692310363,-0.970096848,-0.671348646,-0.235267026
641,Amusement and Recreation Attendants,-2.405181113,-0.468060913,1.068168407,0.524031489,-1.283958528,0.589591798,-0.465316726
642,Costume Attendants,-1.684435488,-0.23986552,0.219792176,0.416547523,2.210187006,0.96117217,0.866306091
643,"Locker Room, Coatroom, and Dressing Room Attendants",-2.517666299,-1.091882246,1.430389568,0.749433918,-0.853816564,-0.174320035,-0.989261443
645,Embalmers,-0.180602229,-0.369588892,-1.059395751,1.741649694,0.19217095,-0.408438807,0.508566118
646,Funeral Attendants,-1.626421782,0.024469659,-0.104207694,1.068240645,-0.120858913,0.376817672,-1.83959594
647,"Morticians, Undertakers, and Funeral Directors",-0.813388489,1.418521795,-1.066936805,1.953548347,0.29031122,-0.18725067,-0.814840851
648,Barbers,-1.40273589,-0.69381808,0.516830004,0.7327525,1.127385271,-0.738140313,1.686734565
649,"Hairdressers, Hairstylists, and Cosmetologists",-0.955731277,0.669584249,0.396205882,0.173637646,1.588994182,-0.612092355,3.2669612
650,"Makeup Artists, Theatrical and Performance",-1.149590323,-0.007669492,-0.034979613,0.500889483,3.165247737,0.513939286,2.329396257
651,Manicurists and Pedicurists,-2.216720859,-0.418690098,0.589326678,0.135810756,0.345933335,-2.176152037,0.162339627
652,Shampooers,-2.220135401,-0.53132462,0.908674588,0.374418885,-0.12069138,0.615304343,0.615962926
653,Skincare Specialists,-1.23612891,-0.671561985,1.048368547,1.008399693,0.670281721,-0.215250602,1.990055187
654,Baggage Porters and Bellhops,-1.305051926,0.039008905,0.23066536,-0.001007467,-0.535181356,-0.09877945,-0.030033877
655,Concierges,-1.132330367,0.730408192,0.885990806,0.993388205,0.693419159,0.166082027,0.092152508
656,Tour Guides and Escorts,-1.597535772,-1.282917764,0.692326406,1.227241431,0.679724,0.335502148,-2.267791751
657,Travel Guides,-1.26262217,0.832796083,0.919388113,-0.125299919,0.673692605,0.573508049,-0.831713937
658,Childcare Workers,-0.945076381,-0.393930292,0.564678777,1.122060491,1.074435601,0.487153237,-0.142792931
659,Nannies,-0.151473463,-0.109479879,0.371540118,1.874411493,0.586770156,-1.788205221,-0.13634934
660,Personal Care Aides,-0.747257482,-1.639965638,0.654096742,1.652079369,-0.423206274,0.379267747,-0.27537329
661,Fitness Trainers and Aerobics Instructors,-1.263507402,-0.726507468,0.462021527,1.387723879,1.645573806,-0.86247592,-0.060292924
662,Recreation Workers,-1.135287399,0.998124472,0.221592374,1.311326157,1.79613518,0.904517585,-0.747880426
663,Residential Advisors,-0.874477126,1.507851093,0.451485373,1.413475603,0.374778297,0.390118259,-0.748323524
665,First-Line Supervisors of Retail Sales Workers,-1.099798414,1.155185117,0.611298399,0.410076286,-0.452949062,1.793078756,0.363260583
666,First-Line Supervisors of Non-Retail Sales Workers,-0.084291462,3.251479285,0.529445746,-0.256400885,-0.236527522,-0.242753039,-0.177583055
667,Cashiers,-1.651729732,0.007376323,1.301488597,-0.233540132,-0.764840733,0.762348857,0.671535318
668,Gaming Change Persons and Booth Cashiers,-1.333883679,-0.458219025,1.231414127,0.029389918,-1.506047675,-0.322087361,1.053736696
669,Counter and Rental Clerks,-1.719199643,0.994808809,0.867740492,0.024100508,-1.165826626,-0.152033198,0.192955101
670,Parts Salespersons,-0.65224558,1.505663425,0.34735102,-0.262228085,-1.145974101,-0.258502745,0.885917125
671,Retail Salespersons,-1.567761365,1.430374494,1.004112247,-0.008296135,-0.467220982,-0.784890775,-0.257595577
672,Advertising Sales Agents,-1.20808922,2.107331539,1.435730524,-0.501431064,0.725250554,-1.304919846,-1.044079879
673,Insurance Sales Agents,-0.303335325,0.624975134,1.622691901,-0.292708435,-0.999670569,-1.122869604,-1.0083123
675,"Sales Agents, Securities and Commodities",0.538839282,1.249895514,1.228762768,0.160915645,-1.007554938,-2.31383808,-0.76314822
676,"Sales Agents, Financial Services",-0.227495346,1.306887571,1.418188849,0.225202942,-0.559424786,0.011546256,0.468781979
677,Securities and Commodities Traders,0.022529492,0.141161528,1.606552581,-1.214944099,-1.170667971,-1.123641524,-0.552743229
678,Travel Agents,-0.869169917,1.401555721,1.770227774,-1.09376593,-0.69698334,-2.518744593,-0.347180262
680,Energy Brokers,0.323536977,0.260529674,1.455557725,-1.19858694,-0.704919832,0.509479905,0.171650851
681,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",-0.343441253,0.968917245,1.033493528,-0.070037115,-1.431401085,-0.802967859,-1.47046142
682,Solar Sales Representatives and Assessors,-0.408213649,0.6781602,0.820491596,-0.358596405,-0.373443576,-0.00635242,-1.209947613
683,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",-0.793476197,1.933110815,0.758501629,-0.380316972,-0.488999377,-0.965134588,-0.260791987
684,Demonstrators and Product Promoters,-1.487025238,0.383832821,1.187894849,0.078552453,0.093542246,-0.329976227,0.116306721
685,Models,-2.626154725,-1.777120254,2.139286348,-0.581765429,1.213100232,-2.295326939,-1.995047674
686,Real Estate Brokers,-0.478407856,0.986801858,1.007426289,0.370984246,-0.560957795,-0.205495019,-1.944151261
687,Real Estate Sales Agents,-0.807703326,2.143115896,0.657779073,0.525122551,-0.769854465,-1.807574598,-0.754194346
688,Sales Engineers,0.367763621,2.157967565,0.650403285,-0.730068916,-0.309978869,-0.543281803,0.693379015
689,Telemarketers,-2.179513762,0.606361894,2.273938989,-0.738097555,-1.427949015,-2.108672398,-0.795596801
690,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",-2.087834096,1.870244229,1.588414946,-0.530253564,-0.396567099,-2.074389691,-1.809767527
692,First-Line Supervisors of Office and Administrative Support Workers,-0.158336926,1.726923247,0.855619232,0.12200852,-0.417551071,0.779691006,0.174426935
693,"Switchboard Operators, Including Answering Service",-1.432830684,-0.657698494,1.42215729,0.621777917,-1.409414671,0.462234792,0.861114471
694,Telephone Operators,-1.312711387,-0.212223147,1.764345076,0.388569589,-1.331088221,-0.607568833,1.332214168
696,Bill and Account Collectors,-0.776427206,0.711420779,1.841226939,-0.866413983,-1.599592515,-0.932915881,-0.304599032
698,Statement Clerks,-0.881552959,-1.068812795,1.606467951,0.14731001,-0.961235785,0.237904703,0.520246961
699,"Billing, Cost, and Rate Clerks",-0.98925646,-0.509603235,1.657042098,-0.15090703,-1.807763149,0.198884445,0.730725604
700,"Bookkeeping, Accounting, and Auditing Clerks",-0.460733639,-1.010802518,1.806805055,-0.334677552,-1.484165182,0.890836279,0.649160219
701,Gaming Cage Workers,-1.479238006,-0.525861678,1.720347146,0.070741571,-1.721333967,0.43930495,0.324650942
702,Payroll and Timekeeping Clerks,-0.522674369,-1.445878679,1.679398883,-0.104595509,-1.201482386,0.626971195,-0.236695476
703,Procurement Clerks,-0.033904098,-0.427906709,1.377050546,-0.025341278,-1.440385728,1.068633299,-1.457093178
704,Tellers,-1.112981968,0.60527266,1.470175188,-0.257762929,-1.166827933,0.838516037,1.380699382
706,Brokerage Clerks,0.02286237,-1.007942932,1.609851995,-0.722645404,-1.399075184,-0.151614879,0.257352148
707,Correspondence Clerks,-0.134156409,0.196480685,1.493176421,-0.250884326,-0.899687215,0.382183543,0.154922647
709,Court Clerks,-0.894802558,-0.498276158,1.711677796,-0.165282229,-1.786916134,-0.23342927,0.188732416
710,Municipal Clerks,-0.732721821,-0.746067119,1.707565479,0.104710223,-0.802499297,1.209355445,0.037321304
711,License Clerks,-0.856130431,-1.12191619,1.266729341,0.753726537,-1.524703867,0.866886445,0.416899814
713,Credit Authorizers,-0.216566431,0.496499783,1.478842435,-0.049440678,-1.884669988,1.262445566,0.60443296
714,Credit Checkers,-0.978815614,0.314585159,1.80371143,-0.557956544,-2.034295188,-0.138521081,-0.852035003
715,Customer Service Representatives,-1.034968532,0.618276702,1.724116907,-0.043157799,-0.984030304,-0.774440589,1.02605351
716,Patient Representatives,-0.133112702,0.441152682,0.663637074,2.205376022,-0.332330174,0.80973583,-0.623690647
717,"Eligibility Interviewers, Government Programs",-0.301751728,-0.196945748,1.237048722,1.435957157,-1.259752023,-1.149866013,-0.036844639
718,File Clerks,-0.786440068,-1.082895269,1.318519361,0.092515961,-0.475687054,0.572678103,0.714642239
719,"Hotel, Motel, and Resort Desk Clerks",-1.459276688,0.87333469,1.305682375,0.507811421,-0.836598742,0.783246806,0.817838886
720,"Interviewers, Except Eligibility and Loan",-1.409053253,-0.917684123,1.985705133,0.091892279,-1.590048773,-0.76162507,-0.498808215
721,"Library Assistants, Clerical",-0.915059947,-1.248401979,1.312124915,0.636740829,-0.326635329,0.376444898,-0.034049299
722,Loan Interviewers and Clerks,0.109301232,0.37242142,1.680610991,-0.683354191,-1.38706446,-0.198702412,0.493910878
723,New Accounts Clerks,-0.778273549,1.13529579,1.690449388,-0.09880167,-1.067477536,0.287528734,1.54345314
724,Order Clerks,-0.870560263,1.18313704,1.117843683,-0.073364904,-0.922457521,-0.185590394,0.747699664
725,"Human Resources Assistants, Except Payroll and Timekeeping",-0.881700683,0.293330446,1.879619495,-0.174799011,-1.425130256,0.546682685,-0.506686603
726,Receptionists and Information Clerks,-1.126996377,-0.941627179,1.848373765,0.343078564,-0.74102468,0.871200945,0.816576341
727,Reservation and Transportation Ticket Agents and Travel Clerks,-0.762468681,0.532308524,0.992097804,1.238674697,-1.044906375,-0.22949115,0.997197025
729,Cargo and Freight Agents,-0.500956707,-0.20900362,0.996183095,-0.354493072,-0.95231433,0.308161127,-1.176736338
730,Freight Forwarders,-0.533615555,0.424694529,1.356757655,-0.816577376,-1.086037836,1.046129506,-0.879415785
731,Couriers and Messengers,-0.798548919,-1.388059226,0.597873109,-0.250939708,-1.705364608,-1.461469624,0.431224661
732,"Police, Fire, and Ambulance Dispatchers",-0.244272173,0.319671345,0.80865056,1.304747836,-1.073279973,0.33034124,1.0870936
733,"Dispatchers, Except Police, Fire, and Ambulance",-0.873325271,0.859692387,0.653699103,-0.634449535,0.011789316,1.270748009,-0.016486473
734,"Meter Readers, Utilities",-0.87344072,-0.476362874,-0.67550287,-0.339099131,-0.780079441,0.16487163,-0.755629885
735,Postal Service Clerks,-0.885481876,-0.200955896,0.551938996,0.207178874,-0.989816806,-0.299567789,1.145868217
736,Postal Service Mail Carriers,-1.345163605,-1.185327928,0.349022044,0.114601397,-1.250986307,-2.233083158,-0.701436761
737,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.22604337,-1.372694418,0.197800554,-0.271943433,-0.861679407,0.154249453,0.483034476
738,"Production, Planning, and Expediting Clerks",-0.240780283,0.441874696,0.02745152,-0.525003983,-0.268492217,1.210717058,-0.427758125
739,"Shipping, Receiving, and Traffic Clerks",-1.128645845,-0.313892833,0.122751548,-0.524377036,-0.462384677,0.743765784,0.121630874
741,"Stock Clerks, Sales Floor",-1.741631374,0.035382736,1.011716587,-0.845805066,-0.659361255,0.221719929,0.463005173
742,Marking Clerks,-1.688443883,-0.355919213,0.833345035,-0.544907263,-0.828759117,0.249080606,0.767937829
743,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",-1.719654668,-0.400512869,0.419130918,-0.776528665,-1.28149419,-0.485398444,-0.736418888
744,"Order Fillers, Wholesale and Retail Sales",-1.791675207,-0.330336509,0.596356262,-0.679948507,-0.651278529,-0.028186462,-0.045422706
745,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-0.65632048,0.662241118,-0.259426747,-0.77666467,-0.67608386,0.103555134,0.048284685
746,Executive Secretaries and Executive Administrative Assistants,-0.644981891,0.033418426,1.497305676,-0.010442255,-0.041446243,1.097834011,0.631442518
747,Legal Secretaries,-0.527811485,-1.027503509,1.946176396,-0.071665184,-1.379393953,0.03597688,-0.028995687
748,Medical Secretaries,-0.46910677,-1.748061647,1.302168207,0.904021496,-0.945701223,1.515363588,0.280282473
749,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",-0.853901791,-0.829914761,1.507347926,0.527949544,-0.824616251,0.970484099,0.262105324
750,Computer Operators,0.446928485,-0.804652985,0.396630072,-0.242794533,-0.590069048,0.232726103,0.28841487
751,Data Entry Keyers,-0.324860641,-1.233095099,1.315691333,0.190248775,-0.428907339,1.397119081,2.123479135
752,Word Processors and Typists,-1.529440684,-0.873332195,1.887660471,-0.52933671,-0.964935803,0.525175306,1.072755796
753,Desktop Publishers,-0.20680022,0.515555352,0.460846688,-0.551952736,2.564201685,0.810442189,1.937390068
755,Insurance Claims Clerks,-0.390265127,-0.897279588,2.049454942,0.391220855,-1.920509871,0.213770778,0.951822221
756,Insurance Policy Processing Clerks,-0.711150316,-1.196666034,2.094648806,-0.616404596,-1.567454564,-0.022097543,-0.140833168
757,"Mail Clerks and Mail Machine Operators, Except Postal Service",-1.490501994,-0.803801986,0.786905386,-0.508237112,-0.492320647,0.626865605,0.949705815
758,"Office Clerks, General",-0.784629446,-1.25164664,1.523968762,0.185384769,-1.030069587,0.526053402,-0.162684141
759,"Office Machine Operators, Except Computer",-0.806585469,-0.461036978,0.624897364,-0.598811212,-0.227118801,-0.609754656,0.241612385
760,Proofreaders and Copy Markers,-0.76862995,-3.266897663,2.089247262,-0.376752214,-0.316208613,0.970116999,-0.830304678
761,Statistical Assistants,0.94935615,-0.939443479,1.682949489,-0.861962603,-1.041407662,0.526518664,0.277915319
762,Bioinformatics Technicians,1.219258693,-1.241419149,1.154676532,-1.316218975,0.085677993,0.193270307,-0.503578205
765,First-Line Supervisors of Logging Workers,-0.114911711,1.017543201,-1.587090667,-0.452518317,-0.389101231,0.251830484,-0.710754575
766,First-Line Supervisors of Aquacultural Workers,0.352170507,1.642490827,-1.161642296,-0.140245141,-0.427373807,-0.104890332,0.099961891
767,First-Line Supervisors of Agricultural Crop and Horticultural Workers,0.043780203,1.22629178,-1.221145086,0.225023546,-0.588916191,-0.637040058,-0.700802235
768,First-Line Supervisors of Animal Husbandry and Animal Care Workers,0.062409518,0.73596821,-0.628091761,0.303573399,-1.089080848,-0.666983636,-0.351782501
769,Agricultural Inspectors,-0.080457828,0.385252125,-0.257981525,0.03252581,-1.085322412,-0.302063267,-0.086138297
770,Animal Breeders,-0.401169114,-0.638627293,0.205837469,-0.519741782,-0.713744821,-2.293195097,0.220815456
771,"Graders and Sorters, Agricultural Products",-2.289485507,-0.697486622,0.682124908,-1.07192128,-0.586996915,-0.90229371,0.482648298
772,Agricultural Equipment Operators,-0.468187116,-1.651524077,-1.470286306,-0.327971605,-0.646625746,-1.444661843,-1.27565955
774,Nursery Workers,-2.029560082,-0.243161178,0.477303045,-0.956944917,-0.633362399,-1.523387925,-0.045132183
775,"Farmworkers and Laborers, Crop",-1.625300213,-1.299305996,-0.163194011,-0.849300826,-0.676230074,0.246080957,-1.315868203
776,"Farmworkers, Farm, Ranch, and Aquacultural Animals",-0.736695215,0.825311678,-1.11660728,-0.933302217,-0.384791965,-0.984494701,-0.626006152
778,Fishers and Related Fishing Workers,-1.038441072,-0.174196464,-0.988417657,-0.470701936,-0.747126843,-0.669237063,-0.213628716
779,Hunters and Trappers,-0.216975717,-0.692169946,-0.665847984,-1.132859975,0.60999315,-3.403808517,-0.477018813
780,Forest and Conservation Workers,-0.684458718,1.472490963,-0.786511304,-0.913852472,0.272352831,0.071297244,0.515260185
781,Fallers,-0.62163207,-1.426666104,-1.365737166,-0.332867801,-0.835334143,-1.155717366,-1.438182985
782,Logging Equipment Operators,-0.887643563,0.208643,-0.823940481,-1.165381397,-0.149869558,0.19955922,-0.000718178
783,Log Graders and Scalers,-0.716409519,0.747798136,-0.898790298,-0.671123106,-0.404195339,-0.791614457,-0.316230258
785,First-Line Supervisors of Construction Trades and Extraction Workers,-0.247215734,1.312770081,-1.360788509,0.057609911,-0.171388633,1.129817037,-0.449120477
786,Solar Energy Installation Managers,-0.08812734,1.718655847,-0.438581518,-0.537089482,0.020361522,0.805740474,0.620912511
787,Boilermakers,-0.110585964,0.60818507,-1.896367602,-0.438458581,-0.117251193,-0.089815452,0.744928535
788,Brickmasons and Blockmasons,-0.503801573,0.173689781,-1.495526533,-0.629793695,0.134314515,0.576024916,0.568056227
789,Stonemasons,-0.55852389,0.862429195,-0.960254598,-0.181097838,0.238381971,-1.16328939,0.478799086
791,Construction Carpenters,-0.633541148,-0.224064936,-1.389823644,-0.159891025,0.275069945,1.525650341,-0.101968571
